attribute_id,required_seller
CAPACIDAD_DEL_ESTANQUE_ATT,0
CAPACIDAD_DEL_HORNO_ATT,0
CAPACIDAD_DEL_LAVAVAJILLAS_ATT,0
CAPACIDAD_DEL_TANQUE_DE_COMBUSTIBLE_ATT,0
CAPACIDAD_EN_HOJAS_ATT,0
CAPACIDAD_EN_LITROS_ATT,0
CAPACIDAD_LT_ATT,0
CAPACIDAD_MAQUINAS_DE_COSER_ATT,0
CAPACIDAD_PARA_TV_ATT,0
CAPACIDAD_SANDWICHERAS_ATT,0
CAPACIDAD_TOTAL_UTIL_ATT,0
CAPACIDAD_UTIL_DEL_CONGELADOR_ATT,0
CAPACIDAD_UTIL_DEL_REFRIGERADOR_ATT,0
CARGA_INICIAL_ATT,0
CARGA_RAPIDA_ATT,0
CARGADOR_ATT,0
CARRO_METALICO_ATT,0
CATA_COMERCIAL_ATT,0
CATEGORIA_SKIS_Y_SNOWBOARD_ATT,0
CENTRIFUGADO_ATT,0
CEPA_ATT,0
CERTIFICACION_ATT,0
CERTIFICADO_ATT,0
CHAISE_LONGUES_DESMONTABLE_ATT,0
CIERRE_ATT,0
CIERRE_CON_CLAVE_ATT,0
CIERRE_EN_EL_POLERON_ATT,0
CILINDRADA_ATT,0
CLASIFICACION_CAMAS_ATT,0
COLOR_DE_LA_ESFERA_ATT,0
COLOR_DE_LA_PULSERA_ATT,0
COLOR_DEL_TAPIZ_ATT,0
COLOR_ELECTRO_ATT,0
COMO_MEDIR_LOS_MUEBLES_ATT,0
COMPANIA_ATT,0
COMPATIBILIDAD_3D_ATT,0
COMPATIBILIDAD_4K_ATT,0
COMPATIBILIDAD_ATT,0
COMPATIBILIDAD_BOLSOS_ATT,0
COMPATIBILIDAD_SOPORTES_ATT,0
COMPATIBLE_CON_ATT,0
COMPOSICION_ALIMENTOS_MASCOTAS_ATT,0
COMPOSICION_ATT,0
COMPOSICION_EXTERIOR_ATT,0
COMPOSICION_VESTUARIO_ATT,0
CON_FONDO_DIFUSOR_ATT,0
CONECTIVIDAD_ATT,0
CONECTIVIDAD_COMPUTADORES_ATT,0
CONEXION_ATT,0
CONEXION_BLUETOOTH_ATT,0
CONEXION_DE_AGUA_ATT,0
CONEXION_NFC_ATT,0
CONEXION_WIFI_ATT,0
CONFIGURACION_DEL_LENTE_ATT,0
CONSEJOS_DE_LAVADO_ATT,0
CONSUMO_ATT,0
CONSUMO_DE_ENERGIA_ATT,0
CONSUMO_MINIMO_DE_ENERGIA_ATT,0
CONTENIDO_ATT,0
CONTENIDO_ML_ATT,0
CONTENIDO_NO_MODA_ATT,0
CONTESTADOR_ATT,0
CONTRASTE_ATT,0
CONTROL_DE_SUBWOOFER_ATT,0
CONTROL_DE_TEMPERATURA_ATT,0
CONTROL_INDEP_DE_ABDOMEN_Y_PIES_ATT,0
CONTROL_POR_MOVIMIENTO_ATT,0
CONTROL_POR_VOZ_ATT,0
CONTROL_REMOTO_INCLUIDO_ATT,0
CONVERTIBLE_EN_BOOSTER_ATT,0
CONVERTIBLE_EN_PARRILLA_ATT,0
CORTA_PATILLA_DESPLEGABLE_ATT,0
CORTE_ATT,0
COSTURA_ATT,0
CUBIERTA_ATT,0
CUIDADOS_DE_LA_PRENDA_ATT,0
DEMARCACION_ATT,0
DEPILADO_BAJO_EL_AGUA_ATT,0
DESCRIPCION_DE_BIELA_ATT,0
DESCRIPCION_DE_FRENOS_ATT,0
DESCRIPCION_DE_MANUBRIO_ATT,0
DESCRIPCION_DE_MARCO_ATT,0
DESCRIPCION_DE_PIÑON_ATT,0
DESCRIPCION_DE_SUSPENCION_ATT,0
DETENCION_AUTOMATICA_ATT,0
DIAMETRO_ATT,0
DIAMETRO_DE_PIEZAS_ATT,0
DIAMETRO_DEL_CABEZAL_ATT,0
DIAMETRO_DEL_GIRA_DISCO_ATT,0
DIAMETRO_DEL_OJAL_ATT,0
DIFICULTAD_DE_ARMADO_ATT,0
DIMENSIONES_ATT,0
DIMENSIONES_DE_LA_BICICLETA_PLEGADA_ATT,0
DIMENSIONES_DE_LA_ESFERA_ATT,0
DIMENSIONES_DE_LA_FUNDA_DE_ALMOHADA_ATT,0
DIMENSIONES_DE_LA_FUNDA_DE_COJIN_ATT,0
DIMENSIONES_DE_LA_FUNDA_DE_PLUMON_ATT,0
DIMENSIONES_DE_LA_SABANA_AJUSTABLE_ATT,0
DIMENSIONES_DE_LA_SABANA_SUPERIOR_ATT,0
DIMENSIONES_DE_LA_UNIDAD_EXTERIOR_ATT,0
DIMENSIONES_DE_LA_UNIDAD_INTERIOR_ATT,0
DIMENSIONES_DEL_BULTO_ATT,0
DIMENSIONES_DEL_PLUMON_ATT,0
DIMENSIONES_DEL_PRODUCTO_ATT,0
DISCIPLINA_ATT,0
DISCO_DURO_ATT,0
DISCO_DURO_SOLIDO_ATT,0
DISENO_ATT,0
DISENO_DEL_TUBO_DE_LAS_PATAS_ATT,0
DISPENSADOR_DE_AGUA_ATT,0
DISPENSADOR_DE_HIELO_ATT,0
DISPONIBLE_EN_ATT,0
DISTANCIA_FOCAL_ATT,0
DISTANCIA_MAX_DE_PROYECCION_OPTIMA_ATT,0
DISTANCIA_MINIMA_DE_LOS_OBJETOS_ATT,0
DISTANCIA_MINIMA_DE_PROYECCION_ATT,0
DISTORSION_ARMONICA_TOTAL_ATT,0
DOBLE_BANDEJA_ATT,0
DOCKING_STATION_ATT,0
DUAL_SIM_ATT,0
DURACION_APROXIMADA_DE_LA_BATERIA_ATT,0
DUREZA_ATT,0
EDAD_ATT,0
EDAD_MINIMA_RECOMENDADA_ATT,0
EDAD_RECOMENDADA_ATT,0
EDITORIAL_ATT,0
EFECTO_ATT,0
ELABORADO_DE_UNA_SOLA_PIEZA_ATT,0
ENCENDIDO_ATT,0
ENCENDIDO_ELECTRONICO_ATT,0
ENCENDIDO_PROGRAMABLE_ATT,0
ENCORDADA_ATT,0
ENTRADA_ATT,0
ENTRADA_INTERNET_ATT,0
ENTRADAS_AUXILIARES_DE_3_5_MM_ATT,0
ENTRADAS_DE_AUDIO_ATT,0
ENTRADAS_DISPONIBLES_ATT,0
ENTRADAS_HDMI_ATT,0
ENTRADAS_OPTICAS_DE_AUDIO_DIGITAL_ATT,0
ENTRADAS_PARA_MICROFONO_ATT,0
ENTRADAS_RCA_ATT,0
ENTRADAS_USB_ATT,0
ENTRADAS_VGA_ATT,0
EQUILIBRIO_ATT,0
ESPACIO_EN_DISCO_DURO_ATT,0
ESPACIO_ENTRE_REPISAS_ATT,0
ESPESOR_ATT,0
ESPESOR_DEL_CUCHILLO_ATT,0
ESPUMADOR_DE_LECHE_ATT,0
ESRB_ATT,0
ESTILO_ALFOMBRAS_ATT,0
ESTILO_DECOHOGAR_ATT,0
ESTILO_DEL_SOSTEN_ATT,0
ESTILO_VESTUARIO_ATT,0
ETAPA_DE_CRECIMIENTO_MASCOTAS_ATT,0
EXPANDIBLE_ATT,0
FACTOR_DE_PROTECCION_SOLAR_ATT,0
FECHA_DE_PUBLICACION_ATT,0
FILTRO_ANTI_ALERGIAS_BACTERIAS_ATT,0
FILTRO_ATT,0
FIT_ATT,0
FIT_CHAQUETAS_ATT,0
FIT_DEL_PANTALON_ATT,0
FIT_POLERAS_ATT,0
FLASH_FRONTAL_ATT,0
FLEX_GOLF_ATT,0
FORMA_ATT,0
FORMA_DE_APLICACION_ATT,0
FORMA_DE_LA_PUNTA_ATT,0
FORMATO_BELLEZA_ATT,0
FORMATO_DE_LA_MONTURA_ATT,0
FORMATO_DE_REPRODUCCION_ATT,0
FORMATO_DE_REPRODUCCION_DE_IMAGEN_ATT,0
FORMATO_DE_REPRODUCCION_DE_VIDEO_ATT,0
FORMATO_REFRIGERADORES_ATT,0
FORMATO_SOFTWARES_Y_MEMBRESIAS_ATT,0
FORMATOS_DE_IMAGEN_ATT,0
FORMATOS_DE_REPRODUCCION_ATT,0
FORMATOS_DE_REPRODUCCION_DE_AUDIO_ATT,0
FORMULACIÓN_ATT,0
FORRO_ATT,0
